trial,within,selectivity,active,silent_ratio,entropy_mean,entropy_max,enthalpy_mean,conductance_mean,conductance_max,open_syn,plastic_syn,axons_grown,axons_pruned
254000,0.6070,0.3316,12,0.7000,62.17,321,9.95,0.03,5,2800,384,384,412
255000,0.6341,0.2700,12,0.7000,62.03,330,9.97,0.00,0,2800,384,384,412
256000,0.6286,0.3281,12,0.7000,61.95,328,9.97,0.00,0,2800,384,384,412
257000,0.5295,0.2206,12,0.7000,61.97,327,9.97,0.00,0,2800,384,384,412
258000,0.5167,0.3075,12,0.7000,62.09,325,9.95,0.00,0,2800,384,384,412
259000,0.5793,0.1670,12,0.7000,62.06,324,9.96,0.00,0,2800,384,384,412
260000,0.5883,0.2123,12,0.7000,62.03,322,9.96,0.00,0,2800,384,384,412
261000,0.6663,0.1969,12,0.7000,61.98,321,9.96,0.01,5,2800,384,384,412
262000,0.6477,0.4043,12,0.7000,62.07,329,9.97,0.00,0,2800,384,384,412
263000,0.6155,0.2823,12,0.7000,61.99,328,9.96,0.00,0,2800,384,384,412
264000,0.5549,0.3069,12,0.7000,62.21,326,9.94,0.00,0,2800,384,384,412
265000,0.6446,0.2584,12,0.7000,61.94,325,9.96,0.00,0,2800,384,384,412
266000,0.5904,0.2921,12,0.7000,62.13,323,9.96,0.00,0,2800,384,384,412
267000,0.5794,0.2641,12,0.7000,61.98,322,9.97,0.00,0,2800,384,384,412
268000,0.5003,0.2078,12,0.7000,61.96,330,9.97,0.00,0,2800,384,384,412
269000,0.6276,0.2210,12,0.7000,62.07,329,9.96,0.00,0,2800,384,384,412
270000,0.6229,0.2333,12,0.7000,62.11,327,9.95,0.00,0,2800,384,384,412
271000,0.6487,0.2433,12,0.7000,62.05,326,9.96,0.00,0,2800,384,384,412
272000,0.5230,0.2083,12,0.7000,61.99,324,9.97,0.00,0,2800,384,384,412
273000,0.6128,0.4290,12,0.7000,61.99,323,9.97,0.00,0,2800,384,384,412
274000,0.6702,0.2963,12,0.7000,62.00,321,9.97,0.00,0,2800,384,384,412
275000,0.5703,0.2062,12,0.7000,62.06,330,9.95,0.01,5,2800,384,384,412
276000,0.6164,0.3182,12,0.7000,61.98,328,9.96,0.00,0,2800,384,384,412
277000,0.6344,0.4262,12,0.7000,62.08,327,9.96,0.00,0,2800,384,384,412
278000,0.6599,0.2689,12,0.7000,61.83,326,9.98,0.00,0,2800,384,384,412
279000,0.6876,0.2253,12,0.7000,62.17,324,9.95,0.01,5,2800,384,384,412
280000,0.7055,0.2805,12,0.7000,61.99,323,9.97,0.00,0,2800,384,384,412
281000,0.6299,0.2422,12,0.7000,62.20,321,9.93,0.03,5,2800,384,384,412
282000,0.6824,0.3375,12,0.7000,62.11,330,9.96,0.00,0,2800,384,384,412
283000,0.6811,0.2849,12,0.7000,61.98,328,9.95,0.01,5,2800,384,384,412
284000,0.6281,0.2914,12,0.7000,62.12,327,9.95,0.00,0,2800,384,384,412
285000,0.4939,0.2630,12,0.7000,61.95,326,9.97,0.00,0,2800,384,384,412
286000,0.6578,0.4048,12,0.7000,62.05,324,9.96,0.00,0,2800,384,384,412
287000,0.5633,0.3368,12,0.7000,61.94,323,9.97,0.01,5,2800,384,384,412
288000,0.4927,0.2580,12,0.7000,62.04,321,9.96,0.00,0,2800,384,384,412
289000,0.6626,0.4480,12,0.7000,62.07,330,9.96,0.00,0,2800,384,384,412
290000,0.5007,0.2144,12,0.7000,61.94,328,9.97,0.00,0,2800,384,384,412
291000,0.5517,0.2582,12,0.7000,62.01,327,9.96,0.00,0,2800,384,384,412
292000,0.5556,0.2950,12,0.7000,62.05,325,9.96,0.01,5,2800,384,384,412
293000,0.5469,0.3193,12,0.7000,62.00,324,9.97,0.00,0,2800,384,384,412
294000,0.5057,0.1830,12,0.7000,61.97,322,9.97,0.00,0,2800,384,384,412
295000,0.5553,0.2076,12,0.7000,62.06,321,9.96,0.01,5,2800,384,384,412
296000,0.5502,0.2006,12,0.7000,62.09,329,9.95,0.00,0,2800,384,384,412
297000,0.4739,0.2343,12,0.7000,62.03,328,9.95,0.00,0,2800,384,384,412
298000,0.5882,0.3146,12,0.7000,62.10,327,9.96,0.00,0,2800,384,384,412
299000,0.5677,0.2741,12,0.7000,61.94,325,9.97,0.00,0,2800,384,384,412
300000,0.4978,0.2151,12,0.7000,62.06,324,9.95,0.00,0,2800,384,384,412
301000,0.5239,0.2172,12,0.7000,62.06,322,9.96,0.00,0,2800,384,384,412
302000,0.5876,0.3088,12,0.7000,61.93,321,9.96,0.00,0,2800,384,384,412
